account_id,last_transaction_date
6,1996-01-20T00:00:00.000Z
55,1996-07-18T00:00:00.000Z
63,1997-11-11T00:00:00.000Z
83,1997-06-24T00:00:00.000Z
112,1997-12-16T00:00:00.000Z
123,1997-09-18T00:00:00.000Z
146,1995-12-21T00:00:00.000Z
148,1996-07-05T00:00:00.000Z
151,1997-06-17T00:00:00.000Z
157,1997-12-23T00:00:00.000Z
162,1997-01-06T00:00:00.000Z
163,1997-12-02T00:00:00.000Z
187,1997-01-06T00:00:00.000Z
220,1996-07-22T00:00:00.000Z
279,1995-10-31T00:00:00.000Z
288,1996-11-07T00:00:00.000Z
305,1997-11-12T00:00:00.000Z
306,1997-12-14T00:00:00.000Z
313,1997-07-31T00:00:00.000Z
317,1996-12-19T00:00:00.000Z
324,1997-11-16T00:00:00.000Z
353,1997-05-21T00:00:00.000Z
359,1997-02-28T00:00:00.000Z
368,1996-12-17T00:00:00.000Z
406,1997-08-29T00:00:00.000Z
423,1997-11-02T00:00:00.000Z
428,1996-12-08T00:00:00.000Z
443,1995-04-18T00:00:00.000Z
459,1997-03-01T00:00:00.000Z
460,1996-04-07T00:00:00.000Z
515,1997-08-27T00:00:00.000Z
520,1996-04-22T00:00:00.000Z
528,1997-11-25T00:00:00.000Z
538,1996-10-24T00:00:00.000Z
539,1996-01-07T00:00:00.000Z
