district_id,mean_loan_amount,total_loan_amount
46,294730,1768380
14,251365.5,2010924
3,243466,1460796
69,242304,1938432
6,232886.6666666666666666666666666667,2095980
67,212966,1277796
20,204082,1224492
57,198584,1191504
22,198504,397008
28,191283.4285714285714285714285714286,1338984
5,190116,1901160
66,189505.7142857142857142857142857143,1326540
73,186634.5,1493076
51,179430,1076580
44,178960.5,1431684
64,177221.6470588235294117647058823529,3012768
50,175007,2100084
75,173907,695628
10,171892.8,859464
42,170458.2857142857142857142857142857,1193208
53,170146.2857142857142857142857142857,1191024
54,168725,4049400
19,168335.1428571428571428571428571429,2356692
62,168204,1682040
56,168113.1428571428571428571428571429,1176792
29,166150.5,1329204
76,165928.8,829644
47,164836.8,1648368
72,163399.7142857142857142857142857143,2287596
74,163011,3260220
12,162399,1299192
37,159461.1428571428571428571428571429,1116228
18,159164,477492
52,158082.8571428571428571428571428571,2213160
4,158074.2857142857142857142857142857,1106520
65,157396,944376
1,153957.2857142857142857142857142857,12932412
2,147992,887952
40,145458,872748
27,143798.6666666666666666666666666667,1294188
36,138756,971292
21,137849.1428571428571428571428571429,964944
68,128359.5,2053752
70,127492.5,3059820
33,127488,509952
35,127200,127200
60,126534.6666666666666666666666666667,1138812
43,126134.4,630672
26,126134,756804
48,125674,754044
8,123504,617520
55,123223.2,1232232
39,123012,615060
16,121779.2727272727272727272727272727,1339572
45,121623.4285714285714285714285714286,851364
13,120093,960744
31,119973,959784
38,118465.8461538461538461538461538462,1540056
41,115828,347484
71,115728,694368
11,112099.6363636363636363636363636364,1233096
9,111676,1005084
63,111027.4285714285714285714285714286,777192
23,109704,438816
59,106674.6666666666666666666666666667,960072
24,105649.5,845196
61,105000,630000
17,103923,415692
34,102657.3333333333333333333333333333,923916
7,92966,557796
49,92060,276180
58,91524,366096
25,90292,270876
15,83475.42857142857142857142857142857,584328
77,81830,490980
32,77114,462684
30,74262,148524
