total_transaction_amount,account_id,card_type
623775,7,gold
408445,14,classic
1652341,33,gold
2181988,34,classic
1436880,43,junior
628885,48,classic
702325,51,junior
701415,65,classic
2973820,66,classic
1857968,68,gold
1369576,71,junior
1301198,73,classic
1172919,95,classic
3397102,96,classic
635480,97,classic
252833,105,classic
950932,106,classic
784651,108,classic
119887,109,classic
745897,110,classic
625581,115,classic
645057,122,classic
431946,128,junior
1278771,132,classic
138802,134,classic
689338,139,junior
804595,144,junior
533396,159,classic
1396284,167,classic
1562541,172,classic
1624670,180,classic
366790,181,junior
376003,185,classic
1017409,191,classic
354384,195,classic
905338,196,classic
556219,200,classic
737469,211,classic
3838530,212,classic
1056832,213,classic
759155,219,junior
2582881,222,classic
318899,223,junior
484714,226,classic
2190608,227,classic
328072,232,classic
360640,244,classic
904618,253,classic
892220,256,classic
3036872,266,classic
1215611,270,gold
389632,276,classic
1656379,277,classic
747667,278,classic
351857,281,classic
843995,286,classic
400250,294,classic
455272,300,classic
504360,303,classic
409180,307,classic
307152,311,junior
680597,329,classic
1431611,339,classic
741783,348,classic
177218,351,junior
666476,356,classic
824036,360,classic
1798688,361,classic
2369845,363,classic
308496,367,classic
174062,371,junior
375470,373,classic
2206676,377,classic
845235,384,classic
333406,386,classic
361265,387,classic
609354,388,classic
2307708,390,classic
467879,392,classic
1264166,393,classic
899178,399,classic
362195,403,classic
1577392,404,classic
793577,405,classic
966132,408,classic
1441475,411,classic
1139720,412,classic
1234139,417,classic
912233,418,junior
1424591,422,classic
565174,424,classic
1337062,427,classic
524657,431,junior
119747,438,classic
2966550,441,junior
1728540,446,classic
3683681,456,gold
821280,468,gold
493621,471,classic
1363480,478,classic
315005,486,junior
1196534,489,classic
681317,491,classic
1068003,493,classic
2173986,494,classic
1596328,497,classic
463784,503,classic
544400,506,classic
546473,512,classic
2623956,521,junior
832355,523,junior
684955,530,classic
146420,537,classic
1953237,539,junior
