account_id,type,transaction_amount
7,gold,623775
14,classic,408445
33,gold,1652341
34,classic,2181988
43,junior,1436880
48,classic,628885
51,junior,702325
65,classic,701415
66,classic,2973820
68,gold,1857968
71,junior,1369576
73,classic,1301198
95,classic,1172919
96,classic,3397102
97,classic,635480
105,classic,252833
106,classic,950932
108,classic,784651
109,classic,119887
110,classic,745897
115,classic,625581
122,classic,645057
128,junior,431946
132,classic,1278771
134,classic,138802
139,junior,689338
144,junior,804595
159,classic,533396
167,classic,1396284
223,junior,318899
200,classic,556219
384,classic,845235
185,classic,376003
403,classic,362195
441,junior,2966550
424,classic,565174
539,junior,1953237
427,classic,1337062
512,classic,546473
211,classic,737469
339,classic,1431611
404,classic,1577392
191,classic,1017409
438,classic,119747
213,classic,1056832
351,junior,177218
276,classic,389632
386,classic,333406
232,classic,328072
286,classic,843995
377,classic,2206676
537,classic,146420
361,classic,1798688
506,classic,544400
360,classic,824036
371,junior,174062
388,classic,609354
195,classic,354384
393,classic,1264166
222,classic,2582881
411,classic,1441475
307,classic,409180
244,classic,360640
530,classic,684955
521,junior,2623956
300,classic,455272
181,junior,366790
227,classic,2190608
281,classic,351857
494,classic,2173986
399,classic,899178
471,classic,493621
373,classic,375470
491,classic,681317
456,gold,3683681
348,classic,741783
196,classic,905338
253,classic,904618
408,classic,966132
266,classic,3036872
363,classic,2369845
446,classic,1728540
418,junior,912233
219,junior,759155
417,classic,1234139
303,classic,504360
422,classic,1424591
172,classic,1562541
405,classic,793577
278,classic,747667
277,classic,1656379
311,junior,307152
478,classic,1363480
212,classic,3838530
392,classic,467879
226,classic,484714
270,gold,1215611
329,classic,680597
431,junior,524657
390,classic,2307708
367,classic,308496
497,classic,1596328
503,classic,463784
493,classic,1068003
523,junior,832355
180,classic,1624670
387,classic,361265
468,gold,821280
486,junior,315005
294,classic,400250
489,classic,1196534
412,classic,1139720
256,classic,892220
356,classic,666476
