trans_id,account_id,date,type,amount,balance
1,1,1995-03-24,credit,1000,1000
5,1,1995-04-13,credit,3679,4679
6,1,1995-05-13,credit,3679,20977
7,1,1995-06-13,credit,3679,26835
8,1,1995-07-13,credit,3679,30415
9,1,1995-08-13,credit,3679,28903
10,1,1995-09-13,credit,3679,22714
11,1,1995-10-13,credit,3679,23318
12,1,1995-11-13,credit,3679,21721
13,1,1995-12-13,credit,3679,20249
14,1,1996-01-13,credit,3679,17870
15,1,1996-02-13,credit,3679,14807
16,1,1996-03-13,credit,3679,16179
17,1,1996-04-13,credit,3679,17657
18,1,1996-05-13,credit,3679,16937
19,1,1996-06-13,credit,3679,15652
20,1,1996-07-13,credit,3679,17970
21,1,1996-08-13,credit,3679,18126
22,1,1996-09-13,credit,3679,20404
23,1,1996-10-13,credit,3679,19995
24,1,1996-11-13,credit,3679,18011
25,1,1996-12-13,credit,3679,16495
26,1,1997-01-13,credit,3679,15087
27,1,1997-02-13,credit,3679,15745
28,1,1997-03-13,credit,3679,15815
29,1,1997-04-13,credit,3679,12480
30,1,1997-05-13,credit,3679,13742
31,1,1997-06-13,credit,3679,13838
32,1,1997-07-13,credit,3679,16606
33,1,1997-08-13,credit,3679,16682
34,1,1997-09-13,credit,3679,16702
35,1,1997-10-13,credit,3679,17979
36,1,1997-11-13,credit,3679,18164
37,1,1997-12-13,credit,3679,14749
38,1,1998-01-13,credit,3679,15353
39,1,1998-02-13,credit,3679,14901
40,1,1998-03-13,credit,3679,16170
41,1,1998-04-13,credit,3679,15585
42,1,1998-05-13,credit,3679,16677
43,1,1998-06-13,credit,3679,17957
44,1,1998-07-13,credit,3679,18790
45,1,1998-08-13,credit,3679,19808
46,1,1998-09-13,credit,3679,14598
47,1,1998-10-13,credit,3679,15869
48,1,1998-11-13,credit,3679,17144
49,1,1998-12-13,credit,3679,13414
58,1,1995-09-05,withdrawal,2452,19035
59,1,1995-10-05,withdrawal,2452,19639
60,1,1995-11-05,withdrawal,2452,18042
61,1,1995-12-05,withdrawal,2452,16570
62,1,1996-01-05,withdrawal,2452,15511
63,1,1996-02-05,withdrawal,2452,11128
64,1,1996-03-05,withdrawal,2452,12500
65,1,1996-04-05,withdrawal,2452,13978
66,1,1996-05-05,withdrawal,2452,13258
67,1,1996-06-05,withdrawal,2452,11973
68,1,1996-07-05,withdrawal,2452,14291
69,1,1996-08-05,withdrawal,2452,14447
70,1,1996-09-05,withdrawal,2452,16725
71,1,1996-10-05,withdrawal,2452,16316
72,1,1996-11-05,withdrawal,2452,14332
73,1,1996-12-05,withdrawal,2452,12816
74,1,1997-01-05,withdrawal,2452,10208
75,1,1997-02-05,withdrawal,2452,10366
76,1,1997-03-05,withdrawal,2452,12136
77,1,1997-04-05,withdrawal,2452,8801
78,1,1997-05-05,withdrawal,2452,10063
79,1,1997-06-05,withdrawal,2452,10159
80,1,1997-07-05,withdrawal,2452,11427
81,1,1997-08-05,withdrawal,2452,14203
82,1,1997-09-05,withdrawal,2452,13413
83,1,1997-10-05,withdrawal,2452,14300
84,1,1997-11-05,withdrawal,2452,15585
85,1,1997-12-05,withdrawal,2452,15770
86,1,1998-01-05,withdrawal,2452,11774
87,1,1998-02-05,withdrawal,2452,10722
88,1,1998-03-05,withdrawal,2452,12491
89,1,1998-04-05,withdrawal,2452,11906
90,1,1998-05-05,withdrawal,2452,12998
91,1,1998-06-05,withdrawal,2452,14278
92,1,1998-07-05,withdrawal,2452,15111
93,1,1998-08-05,withdrawal,2452,16129
94,1,1998-09-05,withdrawal,2452,10919
95,1,1998-10-05,withdrawal,2452,12190
96,1,1998-11-05,withdrawal,2452,13465
97,1,1998-12-05,withdrawal,2452,9735
98,1,1995-12-24,withdrawal,540,18109
99,1,1996-12-18,withdrawal,180,12615
108,1,1996-01-21,withdrawal,870,13950
109,1,1996-01-18,withdrawal,150,14820
110,1,1996-01-04,withdrawal,210,17963
111,1,1996-01-09,withdrawal,720,14611
112,1,1996-01-09,withdrawal,180,15331
113,1,1996-01-10,withdrawal,420,14191
114,1,1997-01-30,withdrawal,840,12777
117,1,1997-01-13,withdrawal,630,14457
118,1,1997-01-22,withdrawal,450,13617
119,1,1997-01-19,withdrawal,390,14067
121,1,1998-01-03,withdrawal,570,14226
122,1,1998-01-28,withdrawal,480,13133
123,1,1998-01-24,withdrawal,330,13613
125,1,1998-01-19,withdrawal,810,13943
127,1,1995-11-30,withdrawal,870,19036
131,1,1996-05-13,withdrawal,660,16277
132,1,1996-06-22,withdrawal,360,16692
133,1,1996-07-16,withdrawal,990,17980
134,1,1996-08-26,withdrawal,1410,19116
135,1,1996-10-13,withdrawal,270,19725
136,1,1996-08-05,withdrawal,1140,16899
137,1,1996-01-27,withdrawal,420,13530
138,1,1997-02-16,withdrawal,570,15175
139,1,1997-08-28,withdrawal,870,15812
140,1,1997-09-05,withdrawal,390,13023
141,1,1997-02-24,withdrawal,630,14545
